Name,Link,Image_Link,Inner_Material,Outer_Material,Occasion,Color,Measurements,Price,Brand,id
Mojaris For Men  (Gold),https://www.flipkart.com/trycom-mojaris-men/p/itm8178e1fa9963f?pid=SHOGRY744E6VS6AG&lid=LSTSHOGRY744E6VS6AG7WHAYM&marketplace=FLIPKART&store=osp%2Fcil%2Fssd&srno=b_1_29&otracker=hp_rich_navigation_7_1.navigationCard.RICH_NAVIGATION_Fashion~Men%2BFootwear~Men%2527s%2BEthnic%2BShoes_IRZTLT64M5EN&otracker1=hp_rich_navigation_PINNED_neo%2Fmerchandising_NA_NAV_EXPANDABLE_navigationCard_cc_7_L2_view-all&fm=organic&iid=a110ffd0-6086-46b3-9d7a-262a0ce10e0c.SHOGRY744E6VS6AG.SEARCH&ppt=None&ppn=None&ssid=7yj3artna80000001691640486706,https://rukminim2.flixcart.com/image/832/832/xif0q/shoe/h/o/h/7-trycom1709-trycom-golden-original-imagry73u7hbx8gn.jpeg?q=70,Synthetic Leather,Fabric,Ethnic,Gold,"[['6', '7', '8', '9', '10']]",899,TRYCOM,11
"Sports, Running & Comfortable Gym shoes for Men's Walking Shoes. Slip On Sneakers For Men  (Multicolor)",https://www.flipkart.com/tpent-sports-running-comfortable-gym-shoes-men-s-walking-shoes-slip-sneakers-men/p/itme0b2925d10533?pid=SHOGEF44GFBRHHSH&lid=LSTSHOGEF44GFBRHHSHS00ZMD&marketplace=FLIPKART&store=osp%2Fcil%2Fe1f&srno=b_1_33&otracker=hp_rich_navigation_3_1.navigationCard.RICH_NAVIGATION_Fashion~Men%2BFootwear~Men%2527s%2BCasual%2BShoes_30OZVDNS8SCQ&otracker1=hp_rich_navigation_PINNED_neo%2Fmerchandising_NA_NAV_EXPANDABLE_navigationCard_cc_3_L2_view-all&fm=organic&iid=18f0f7ac-5952-449a-8ea1-5e8bfd53d0ae.SHOGEF44GFBRHHSH.SEARCH&ppt=None&ppn=None&ssid=wpqlazg1n40000001691640236536,https://rukminim2.flixcart.com/image/832/832/l3929ow0/shoe/f/o/g/9-sports-125-tpent-maroon-black-original-imagef43jacctgtz.jpeg?q=70,Soft material,Fabric,Casual,Multicolor,"[['6', '7', '8', '9', '10']]",401,TPENT,12
Oricum Lightweight Casual Shoes with High Quality Sole pack of 2 Sneakers For Men  (Multicolor),https://www.flipkart.com/oricum-lightweight-casual-shoes-high-quality-sole-pack-2-sneakers-men/p/itm7d54c5c6d2c46?pid=SHOGQTJB7W27GMAX&lid=LSTSHOGQTJB7W27GMAXCAYRIX&marketplace=FLIPKART&store=osp%2Fcil%2Fe1f&srno=b_1_29&otracker=hp_rich_navigation_3_1.navigationCard.RICH_NAVIGATION_Fashion~Men%2BFootwear~Men%2527s%2BCasual%2BShoes_30OZVDNS8SCQ&otracker1=hp_rich_navigation_PINNED_neo%2Fmerchandising_NA_NAV_EXPANDABLE_navigationCard_cc_3_L2_view-all&fm=organic&iid=18f0f7ac-5952-449a-8ea1-5e8bfd53d0ae.SHOGQTJB7W27GMAX.SEARCH&ppt=None&ppn=None&ssid=wpqlazg1n40000001691640236536,https://rukminim2.flixcart.com/image/832/832/xif0q/shoe/t/v/x/6-combo-pii-1565-1901-swiggy-multicolor-original-imagqtedgwksps3g.jpeg?q=70,,Canvas,Casual,Multicolor,"[['6', '7', '8', '9', '10']]",636,ORICUM,13
Vission Runner M Running Shoes For Men  (Blue),https://www.flipkart.com/reebok-vission-runner-m-running-shoes-men/p/itm4fba8ea6e21a4?pid=SHOGHXXFMZS5GVZR&lid=LSTSHOGHXXFMZS5GVZROA5DJQ&marketplace=FLIPKART&store=osp%2Fcil%2F1cu&srno=b_1_5&otracker=hp_rich_navigation_2_1.navigationCard.RICH_NAVIGATION_Fashion~Men%2BFootwear~Men%2527s%2BSports%2BShoes_7M0KJVL57137&otracker1=hp_rich_navigation_PINNED_neo%2Fmerchandising_NA_NAV_EXPANDABLE_navigationCard_cc_2_L2_view-all&fm=organic&iid=f9d7c48a-5dd6-466b-b5f9-91227e09234c.SHOGHXXFMZS5GVZR.SEARCH&ppt=None&ppn=None&ssid=hd74iubgkw0000001691640168245,https://rukminim2.flixcart.com/image/832/832/xif0q/shoe/e/h/x/6-gc0102-7-reebok-blue-original-imagrchnhjrefjyn.jpeg?q=70,,Textile,Sports,Blue,"[['6', '7', '8', '9', '10', '11']]",2183,REEBOK,14
Mojaris For Men  (Black),https://www.flipkart.com/el-paso-mojaris-men/p/itma887d883ae0b2?pid=SHOGY4EDEJCDGEMZ&lid=LSTSHOGY4EDEJCDGEMZQ1KXZZ&marketplace=FLIPKART&store=osp%2Fcil%2Fssd&srno=b_1_33&otracker=hp_rich_navigation_7_1.navigationCard.RICH_NAVIGATION_Fashion~Men%2BFootwear~Men%2527s%2BEthnic%2BShoes_IRZTLT64M5EN&otracker1=hp_rich_navigation_PINNED_neo%2Fmerchandising_NA_NAV_EXPANDABLE_navigationCard_cc_7_L2_view-all&fm=organic&iid=a110ffd0-6086-46b3-9d7a-262a0ce10e0c.SHOGY4EDEJCDGEMZ.SEARCH&ppt=None&ppn=None&ssid=7yj3artna80000001691640486706,https://rukminim2.flixcart.com/image/832/832/xif0q/shoe/o/5/t/-original-imaggcb23gmknytz.jpeg?q=70,Synthetic,Synthetic Leather,Ethnic,Black,"[['6', '7', '8', '9', '10', '11']]",1099,El Paso,15
ACMARPM Canvas Shoes For Men  (Maroon),https://www.flipkart.com/absolute-comfort-acmarpm-canvas-shoes-men/p/itmfew8z45q8g58r?pid=SHOFEWYDQDGME8ZG&lid=LSTSHOFEWYDQDGME8ZG5KMRLL&marketplace=FLIPKART&store=osp%2Fcil%2Fe1f&srno=b_1_4&otracker=hp_rich_navigation_3_1.navigationCard.RICH_NAVIGATION_Fashion~Men%2BFootwear~Men%2527s%2BCasual%2BShoes_30OZVDNS8SCQ&otracker1=hp_rich_navigation_PINNED_neo%2Fmerchandising_NA_NAV_EXPANDABLE_navigationCard_cc_3_L2_view-all&fm=organic&iid=18f0f7ac-5952-449a-8ea1-5e8bfd53d0ae.SHOFEWYDQDGME8ZG.SEARCH&ppt=None&ppn=None&ssid=wpqlazg1n40000001691640236536,https://rukminim2.flixcart.com/image/832/832/xif0q/shoe/z/m/q/-original-imags7pyu8kbynzg.jpeg?q=70,Foaming,"Denim, Canvas, Textile",Casual,Maroon,"[['6', '7', '8', '9', '10']]",210,Absolute comfort,16
Jaripeo ASHER Vegan Casuals For Men  (Navy),https://www.flipkart.com/jaripeo-buckaroo-asher-vegan-casuals-men/p/itm99f925a3e4196?pid=SHOGJQYTNRDED7KM&lid=LSTSHOGJQYTNRDED7KM70MZH3&marketplace=FLIPKART&store=osp%2Fcil%2Fssd&srno=b_1_22&otracker=hp_rich_navigation_7_1.navigationCard.RICH_NAVIGATION_Fashion~Men%2BFootwear~Men%2527s%2BEthnic%2BShoes_IRZTLT64M5EN&otracker1=hp_rich_navigation_PINNED_neo%2Fmerchandising_NA_NAV_EXPANDABLE_navigationCard_cc_7_L2_view-all&fm=organic&iid=en_vQMDVRPlcl-HEEqC0N4LU7ZBOg3hSHDH4WUia_FtZLMiBaUJkjJfN99PrJD6nBfJzu9bdbxliPualVgpch7_wg%3D%3D&ppt=None&ppn=None&ssid=7yj3artna80000001691640486706,https://rukminim2.flixcart.com/image/832/832/xif0q/shoe/c/f/w/-original-imagr4zygvcdrzfj.jpeg?q=70,Vegan Synthetic + Fabric,Synthetic,Ethnic,Navy,"[['6', '7', '8', '9', '10', '11']]",2465,Jaripeo by Buckaroo,17
Men's Suede Leather Stylish Light Weight Loafer Shoe For Men's Loafers For Men  (Black),https://www.flipkart.com/atozshoes-men-s-suede-leather-stylish-light-weight-loafer-shoe-loafers-men/p/itmf40509d5d5f69?pid=SHOGMMDG5HFVBZCB&lid=LSTSHOGMMDG5HFVBZCBAOJOJH&marketplace=FLIPKART&store=osp%2Fcil%2Fssd&srno=b_1_11&otracker=hp_rich_navigation_7_1.navigationCard.RICH_NAVIGATION_Fashion~Men%2BFootwear~Men%2527s%2BEthnic%2BShoes_IRZTLT64M5EN&otracker1=hp_rich_navigation_PINNED_neo%2Fmerchandising_NA_NAV_EXPANDABLE_navigationCard_cc_7_L2_view-all&fm=organic&iid=en_vQMDVRPlcl-HEEqC0N4LU7ZBOg3hSHDH4WUia_FtZLNOyrMpjsL0mRGUIGuUclFIjiR90RIoD7qcQ0P-kZo_Og%3D%3D&ppt=None&ppn=None&ssid=7yj3artna80000001691640486706,https://rukminim2.flixcart.com/image/832/832/xif0q/shoe/x/2/4/6-lfr-5001-40-atozshoes-black-original-imagmu6qyhghz57n.jpeg?q=70,Synthetic,Suede,Ethnic,Black,"[['6', '7', '8', '9', '10']]",509,AtoZshoes,18
"Sneakers For Men  (White, Black)",https://www.flipkart.com/rapidbox-sneakers-men/p/itm3cd2aed78b256?pid=SHOG6WUMQ5UWMHSX&lid=LSTSHOG6WUMQ5UWMHSXP2EJYC&marketplace=FLIPKART&store=osp%2Fcil%2Fe1f&srno=b_1_22&otracker=hp_rich_navigation_3_1.navigationCard.RICH_NAVIGATION_Fashion~Men%2BFootwear~Men%2527s%2BCasual%2BShoes_30OZVDNS8SCQ&otracker1=hp_rich_navigation_PINNED_neo%2Fmerchandising_NA_NAV_EXPANDABLE_navigationCard_cc_3_L2_view-all&fm=organic&iid=en_OopLRPlo1PiKMOg2ZnbCGV_MSuqyqLTES5qcSKdexUeOrT-bCoXf8uI_-oQ2h3CDTA4GmykGfsGUbeDk_VFX_g%3D%3D&ppt=None&ppn=None&ssid=wpqlazg1n40000001691640236536,https://rukminim2.flixcart.com/image/832/832/xif0q/shoe/1/y/g/11-atm03-2004-11-rapidbox-white-black-original-imagpzr86pysecg3.jpeg?q=70,EVA or Rubber,Synthetic,Casual,"White, Black","[['6', '7', '8', '9', '10', '11']]",699,RapidBox,19
Running Sports Latest Stylish Casual Lace up lightweight black walking gym Casuals For Men  (Black),https://www.flipkart.com/nobelite-running-sports-latest-stylish-casual-lace-up-lightweight-black-walking-gym-casuals-men/p/itm1d9d29e13ff98?pid=SHOG447QVFXQNCGV&lid=LSTSHOG447QVFXQNCGVJVW24W&marketplace=FLIPKART&store=osp%2Fcil%2Fe1f&srno=b_1_39&otracker=hp_rich_navigation_3_1.navigationCard.RICH_NAVIGATION_Fashion~Men%2BFootwear~Men%2527s%2BCasual%2BShoes_30OZVDNS8SCQ&otracker1=hp_rich_navigation_PINNED_neo%2Fmerchandising_NA_NAV_EXPANDABLE_navigationCard_cc_3_L2_view-all&fm=organic&iid=18f0f7ac-5952-449a-8ea1-5e8bfd53d0ae.SHOG447QVFXQNCGV.SEARCH&ppt=None&ppn=None&ssid=wpqlazg1n40000001691640236536,https://rukminim2.flixcart.com/image/832/832/xif0q/shopsy-shoe/w/8/9/8-21212-nobelite-black-original-imagj5wbvszbetnz.jpeg?q=70,"Fabric, Mesh",Mesh,Casual,Black,"[['5', '6', '7', '8', '9', '10']]",249,Nobelite,20
