Name,modelName,Link,Image_Link,Occasion,Color,Price,Brand
Oxidised Silver Silver Silver Jewel Set  (Pack of 1),,https://www.flipkart.com/arch-gallery-oxidised-silver-jewellery-set/p/itme6408e7b928b2?pid=JWSGEXP8ZKDK3AXZ&lid=LSTJWSGEXP8ZKDK3AXZDBMMSV&marketplace=FLIPKART&q=jewellery+for+women&store=mcr%2F96v%2Fyx2&srno=s_1_21&otracker=AS_QueryStore_OrganicAutoSuggest_2_4_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_2_4_na_na_na&fm=organic&iid=36ffec02-e82e-488d-96fd-949b56a51bc1.JWSGEXP8ZKDK3AXZ.SEARCH&ppt=None&ppn=None&ssid=aekr68q4c00000001692532761881&qH=ce533df150a10b44,https://rukminim2.flixcart.com/image/832/832/xif0q/jewellery-set/w/m/a/-original-imagqg5vyhfgrpmm.jpeg?q=70,Everyday,Silver,199,Arch gallery 
"Alloy Gold-plated Red, Gold, White, Green Jewel Set  (Pack of 1)",,https://www.flipkart.com/nagneshi-art-alloy-gold-plated-red-gold-white-green-jewellery-set/p/itm27a7b8f833f7e?pid=JWSGFFUGHV4AUGND&lid=LSTJWSGFFUGHV4AUGNDNO8YEE&marketplace=FLIPKART&q=jewellery+for+women&store=mcr%2F96v%2Fyx2&srno=s_1_22&otracker=AS_QueryStore_OrganicAutoSuggest_2_4_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_2_4_na_na_na&fm=organic&iid=36ffec02-e82e-488d-96fd-949b56a51bc1.JWSGFFUGHV4AUGND.SEARCH&ppt=None&ppn=None&ssid=aekr68q4c00000001692532761881&qH=ce533df150a10b44,https://rukminim2.flixcart.com/image/832/832/xif0q/jewellery-set/d/x/8/na-na-06088-nagneshi-art-original-imagd6zy3acfhcmz.jpeg?q=70,Wedding & Engagement,"Red, Gold, White, Green",354,Nagneshi Art 
Alloy Gold-plated Blue Jewel Set  (Pack of 1),,https://www.flipkart.com/ramsonenterpris-alloy-gold-plated-blue-jewellery-set/p/itm5555da1e7a637?pid=JWSGR79VHGGDFTTH&lid=LSTJWSGR79VHGGDFTTHG2QQNL&marketplace=FLIPKART&q=jewellery+for+women&store=mcr%2F96v%2Fyx2&srno=s_1_23&otracker=AS_QueryStore_OrganicAutoSuggest_2_4_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_2_4_na_na_na&fm=organic&iid=36ffec02-e82e-488d-96fd-949b56a51bc1.JWSGR79VHGGDFTTH.SEARCH&ppt=None&ppn=None&ssid=aekr68q4c00000001692532761881&qH=ce533df150a10b44,https://rukminim2.flixcart.com/image/832/832/xif0q/jewellery-set/7/v/c/na-freshwater-1-red3030-vishnu-enterprises-original-imagrfjyzhdbafaf.jpeg?q=70,Wedding & Engagement,Blue,199,RamsonEnterpris 
Brass Gold-plated Gold Jewel Set  (Pack of 1),,https://www.flipkart.com/asmitta-jewellery-brass-gold-plated-gold-set/p/itmf078c58bd7347?pid=JWSF6TZSDFKSTRHG&lid=LSTJWSF6TZSDFKSTRHGEBXARP&marketplace=FLIPKART&q=jewellery+for+women&store=mcr%2F96v%2Fyx2&srno=s_1_24&otracker=AS_QueryStore_OrganicAutoSuggest_2_4_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_2_4_na_na_na&fm=organic&iid=36ffec02-e82e-488d-96fd-949b56a51bc1.JWSF6TZSDFKSTRHG.SEARCH&ppt=None&ppn=None&ssid=aekr68q4c00000001692532761881&qH=ce533df150a10b44,https://rukminim2.flixcart.com/image/832/832/kqv8vww0/jewellery-set/n/c/x/nm445brgldhu0-asmitta-jewellery-original-imag4scxgst92zyt.jpeg?q=70,"Wedding & Engagement, Religious, Everyday, Love, Workwear",Gold,299,ASMITTA Jewellery 
Alloy Gold-plated Gold Jewel Set  (Pack of 1),,https://www.flipkart.com/diksha-collection-alloy-gold-plated-gold-jewellery-set/p/itm7eacf26524664?pid=JWSG9B9PJZZYZYFN&lid=LSTJWSG9B9PJZZYZYFNEILB2V&marketplace=FLIPKART&q=jewellery+for+women&store=mcr%2F96v%2Fyx2&spotlightTagId=FkPickId_mcr%2F96v%2Fyx2&srno=s_1_25&otracker=AS_QueryStore_OrganicAutoSuggest_2_4_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_2_4_na_na_na&fm=organic&iid=36ffec02-e82e-488d-96fd-949b56a51bc1.JWSG9B9PJZZYZYFN.SEARCH&ppt=None&ppn=None&ssid=aekr68q4c00000001692532761881&qH=ce533df150a10b44,https://rukminim2.flixcart.com/image/832/832/l2dmky80/jewellery-set/h/m/f/na-na-bla1-diksha-collection-original-imagdq4ujwfvegxv.jpeg?q=70,"Wedding & Engagement, Workwear, Everyday, Religious, Love",Gold,360,DIKSHA COLLECTION 
Alloy Gold-plated Gold Jewel Set  (Pack of 1),,https://www.flipkart.com/sukkhi-alloy-gold-plated-gold-jewellery-set/p/itm8a4a7d5d16507?pid=JWSEF7Q6KHUDDBHJ&lid=LSTJWSEF7Q6KHUDDBHJNEVRXJ&marketplace=FLIPKART&q=jewellery+for+women&store=mcr%2F96v%2Fyx2&srno=s_1_26&otracker=AS_QueryStore_OrganicAutoSuggest_2_4_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_2_4_na_na_na&fm=organic&iid=36ffec02-e82e-488d-96fd-949b56a51bc1.JWSEF7Q6KHUDDBHJ.SEARCH&ppt=None&ppn=None&ssid=aekr68q4c00000001692532761881&qH=ce533df150a10b44,https://rukminim2.flixcart.com/image/832/832/xif0q/jewellery-set/n/h/7/na-na-cbns104734-sukkhi-original-imagyn8dwwgg5ufy.jpeg?q=70,Wedding & Engagement,Gold,189,Sukkhi 
"Brass, Copper Gold-plated Gold Jewel Set  (Pack of 1)",,https://www.flipkart.com/rofarword-brass-copper-gold-plated-gold-jewellery-set/p/itm0d5868518242e?pid=JWSGM8W9KZ6ZNAMW&lid=LSTJWSGM8W9KZ6ZNAMWXLSQ2S&marketplace=FLIPKART&q=jewellery+for+women&store=mcr%2F96v%2Fyx2&srno=s_1_27&otracker=AS_QueryStore_OrganicAutoSuggest_2_4_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_2_4_na_na_na&fm=organic&iid=36ffec02-e82e-488d-96fd-949b56a51bc1.JWSGM8W9KZ6ZNAMW.SEARCH&ppt=None&ppn=None&ssid=aekr68q4c00000001692532761881&qH=ce533df150a10b44,https://rukminim2.flixcart.com/image/832/832/l0sgyvk0/necklace-chain/p/c/1/ad-thikset-306-choker-rofarword-original-imagchsfqhtzp3gt.jpeg?q=70,"Love, Religious, Wedding & Engagement",Gold,199,ROFARWORD 
"Brass, Copper Gold-plated Gold Jewel Set  (Pack of 1)",,https://www.flipkart.com/rofarword-brass-copper-gold-plated-gold-jewellery-set/p/itm11b2dde74b8e0?pid=JWSGGUNSGBE7K7RQ&lid=LSTJWSGGUNSGBE7K7RQLX0TMJ&marketplace=FLIPKART&q=jewellery+for+women&store=mcr%2F96v%2Fyx2&srno=s_1_28&otracker=AS_QueryStore_OrganicAutoSuggest_2_4_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_2_4_na_na_na&fm=organic&iid=36ffec02-e82e-488d-96fd-949b56a51bc1.JWSGGUNSGBE7K7RQ.SEARCH&ppt=None&ppn=None&ssid=aekr68q4c00000001692532761881&qH=ce533df150a10b44,https://rukminim2.flixcart.com/image/832/832/xif0q/jewellery-set/f/s/f/na-na-2-sat-set-101-rofarword-original-imagm92hbgu2f3eh.jpeg?q=70,"Wedding & Engagement, Religious, Love",Gold,334,ROFARWORD 
Brass Gold-plated Gold Jewel Set  (Pack of 1),,https://www.flipkart.com/brado-jewellery-brass-gold-plated-gold-set/p/itm227b201aa1b38?pid=JWSGN8FTTAXCYXE7&lid=LSTJWSGN8FTTAXCYXE7JTLMMR&marketplace=FLIPKART&q=jewellery+for+women&store=mcr%2F96v%2Fyx2&srno=s_1_29&otracker=AS_QueryStore_OrganicAutoSuggest_2_4_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_2_4_na_na_na&fm=organic&iid=36ffec02-e82e-488d-96fd-949b56a51bc1.JWSGN8FTTAXCYXE7.SEARCH&ppt=None&ppn=None&ssid=aekr68q4c00000001692532761881&qH=ce533df150a10b44,https://rukminim2.flixcart.com/image/832/832/xif0q/jewellery-set/6/i/r/na-cultured-madurai-brado-jewellery-original-imagn8ftjnshwvhe.jpeg?q=70,"Love, Wedding & Engagement, Religious",Gold,199,brado jewellery 
Alloy Gold-plated Gold Jewel Set  (Pack of 1),,https://www.flipkart.com/navya-collection-alloy-gold-plated-gold-jewellery-set/p/itm6f56a519efefe?pid=JWSGEE6GFBCY5VWH&lid=LSTJWSGEE6GFBCY5VWHVJC18O&marketplace=FLIPKART&q=jewellery+for+women&store=mcr%2F96v%2Fyx2&srno=s_1_30&otracker=AS_QueryStore_OrganicAutoSuggest_2_4_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_2_4_na_na_na&fm=organic&iid=36ffec02-e82e-488d-96fd-949b56a51bc1.JWSGEE6GFBCY5VWH.SEARCH&ppt=None&ppn=None&ssid=aekr68q4c00000001692532761881&qH=ce533df150a10b44,https://rukminim2.flixcart.com/image/832/832/ktyp8cw0/shopsy-jewellery-set/c/e/r/com-0001-necklace-earing-bangle-ring-set-navya-collection-original-imag76zjsj5gvbgx.jpeg?q=70,,Gold,299,Navya COLLECTION 
"Brass, Mother of Pearl, Copper, Alloy Copper, Brass Green, Gold Jewel Set  (Pack of 1)",,https://www.flipkart.com/karishma-kreations-brass-mother-pearl-copper-alloy-brass-green-gold-jewellery-set/p/itmb9e9d370e803e?pid=JWSGDJZBYYZKZMAN&lid=LSTJWSGDJZBYYZKZMANZTYTFU&marketplace=FLIPKART&q=jewellery+for+women&store=mcr%2F96v%2Fyx2&srno=s_1_31&otracker=AS_QueryStore_OrganicAutoSuggest_2_4_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_2_4_na_na_na&fm=organic&iid=36ffec02-e82e-488d-96fd-949b56a51bc1.JWSGDJZBYYZKZMAN.SEARCH&ppt=None&ppn=None&ssid=aekr68q4c00000001692532761881&qH=ce533df150a10b44,https://rukminim2.flixcart.com/image/832/832/l251xu80/jewellery-set/n/j/q/cultured-na-d2134-karishma-kreations-original-imagdjzbzcmvazma.jpeg?q=70,"Everyday, Love, Religious, Wedding & Engagement","Green, Gold",349,Karishma Kreations 
"Brass, Copper Gold-plated Gold Jewel Set  (Pack of 1)",,https://www.flipkart.com/rofarword-brass-copper-gold-plated-gold-jewellery-set/p/itmc0098d4c93efc?pid=JWSGFPGUK8FKK6XE&lid=LSTJWSGFPGUK8FKK6XE2HMMXI&marketplace=FLIPKART&q=jewellery+for+women&store=mcr%2F96v%2Fyx2&srno=s_1_32&otracker=AS_QueryStore_OrganicAutoSuggest_2_4_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_2_4_na_na_na&fm=organic&iid=36ffec02-e82e-488d-96fd-949b56a51bc1.JWSGFPGUK8FKK6XE.SEARCH&ppt=None&ppn=None&ssid=aekr68q4c00000001692532761881&qH=ce533df150a10b44,https://rukminim2.flixcart.com/image/832/832/l4x2rgw0/jewellery-set/x/b/4/na-na-unique-603-rofarword-original-imagfpgugkdptwws.jpeg?q=70,"Wedding & Engagement, Religious, Love",Gold,248,ROFARWORD 
Alloy Gold-plated Multicolor Jewel Set  (Pack of 1),,https://www.flipkart.com/bwon-alloy-gold-plated-multicolor-jewellery-set/p/itm8871e496a9ca7?pid=JWSGHYFKCFMYHZXY&lid=LSTJWSGHYFKCFMYHZXYHGYYLU&marketplace=FLIPKART&q=jewellery+for+women&store=mcr%2F96v%2Fyx2&srno=s_1_33&otracker=AS_QueryStore_OrganicAutoSuggest_2_4_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_2_4_na_na_na&fm=organic&iid=36ffec02-e82e-488d-96fd-949b56a51bc1.JWSGHYFKCFMYHZXY.SEARCH&ppt=None&ppn=None&ssid=aekr68q4c00000001692532761881&qH=ce533df150a10b44,https://rukminim2.flixcart.com/image/832/832/xif0q/jewellery-set/d/j/r/plastic-na-00000394-bwon-original-imaghyfjfmcycqds.jpeg?q=70,"Love, Wedding & Engagement, Religious",Multicolor,275,bwon 
Alloy Gold-plated Multicolor Jewel Set  (Pack of 2),,https://www.flipkart.com/bhagyshree-alloy-gold-plated-multicolor-jewellery-set/p/itm943e3b316652a?pid=JWSGJ2PFR5Z3HXUB&lid=LSTJWSGJ2PFR5Z3HXUB66TN1W&marketplace=FLIPKART&q=jewellery+for+women&store=mcr%2F96v%2Fyx2&srno=s_1_34&otracker=AS_QueryStore_OrganicAutoSuggest_2_4_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_2_4_na_na_na&fm=organic&iid=36ffec02-e82e-488d-96fd-949b56a51bc1.JWSGJ2PFR5Z3HXUB.SEARCH&ppt=None&ppn=None&ssid=aekr68q4c00000001692532761881&qH=ce533df150a10b44,https://rukminim2.flixcart.com/image/832/832/xif0q/shopsy-jewellery-set/i/p/a/sp-1009-earring-ring-set-bhagyshree-product-original-imagg9npdaqcekqb.jpeg?q=70,"Love, Everyday, Wedding & Engagement",Multicolor,551,bhagyshree 
Alloy Gold-plated Gold Jewel Set  (Pack of 1),,https://www.flipkart.com/keymax-alloy-gold-plated-gold-jewellery-set/p/itm74a104ff6d1bd?pid=JWSGFRUBDHZKDW2K&lid=LSTJWSGFRUBDHZKDW2KKGS0NQ&marketplace=FLIPKART&q=jewellery+for+women&store=mcr%2F96v%2Fyx2&srno=s_1_35&otracker=AS_QueryStore_OrganicAutoSuggest_2_4_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_2_4_na_na_na&fm=organic&iid=36ffec02-e82e-488d-96fd-949b56a51bc1.JWSGFRUBDHZKDW2K.SEARCH&ppt=None&ppn=None&ssid=aekr68q4c00000001692532761881&qH=ce533df150a10b44,https://rukminim2.flixcart.com/image/832/832/l4pxk7k0/jewellery-set/1/0/o/na-na-set-6n-fallalery-original-imagfjy3zegw5msb.jpeg?q=70,,Gold,373,KEYMAX 
Alloy Gold-plated Maroon Jewel Set  (Pack of 1),,https://www.flipkart.com/raj-art-jewelers-alloy-gold-plated-maroon-jewellery-set/p/itm8b4ab919fb1c9?pid=JWSGD7ZG3EPBZZJQ&lid=LSTJWSGD7ZG3EPBZZJQB6L6LX&marketplace=FLIPKART&q=jewellery+for+women&store=mcr%2F96v%2Fyx2&srno=s_1_36&otracker=AS_QueryStore_OrganicAutoSuggest_2_4_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_2_4_na_na_na&fm=organic&iid=36ffec02-e82e-488d-96fd-949b56a51bc1.JWSGD7ZG3EPBZZJQ.SEARCH&ppt=None&ppn=None&ssid=aekr68q4c00000001692532761881&qH=ce533df150a10b44,https://rukminim2.flixcart.com/image/832/832/xif0q/jewellery-set/r/m/r/-original-imagqg5tt27gh8wu.jpeg?q=70,,Maroon,181,raj art jewelers 
Alloy Gold-plated Gold Jewel Set  (Pack of 1),,https://www.flipkart.com/sukkhi-alloy-gold-plated-gold-jewellery-set/p/itm8d2c0edf0ec07?pid=JWSFEJNMRFEDV6WN&lid=LSTJWSFEJNMRFEDV6WNR86YUZ&marketplace=FLIPKART&q=jewellery+for+women&store=mcr%2F96v%2Fyx2&srno=s_1_37&otracker=AS_QueryStore_OrganicAutoSuggest_2_4_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_2_4_na_na_na&fm=organic&iid=36ffec02-e82e-488d-96fd-949b56a51bc1.JWSFEJNMRFEDV6WN.SEARCH&ppt=None&ppn=None&ssid=aekr68q4c00000001692532761881&qH=ce533df150a10b44,https://rukminim2.flixcart.com/image/832/832/jvfk58w0/jewellery-set/6/w/n/n79602-d1-sukkhi-original-imafgcawpayn7qst.jpeg?q=70,Wedding & Engagement,Gold,189,Sukkhi 
"Brass, Copper, Alloy Gold-plated Gold, Pink, Green Jewel Set  (Pack of 1)",,https://www.flipkart.com/kishusoon-brass-copper-alloy-gold-plated-gold-pink-green-jewellery-set/p/itm332ddccdda0e4?pid=JWSGK34XCYBUYUBC&lid=LSTJWSGK34XCYBUYUBCGIK0BJ&marketplace=FLIPKART&q=jewellery+for+women&store=mcr%2F96v%2Fyx2&srno=s_1_38&otracker=AS_QueryStore_OrganicAutoSuggest_2_4_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_2_4_na_na_na&fm=organic&iid=36ffec02-e82e-488d-96fd-949b56a51bc1.JWSGK34XCYBUYUBC.SEARCH&ppt=None&ppn=None&ssid=aekr68q4c00000001692532761881&qH=ce533df150a10b44,https://rukminim2.flixcart.com/image/832/832/l4pxk7k0/jewellery-set/y/g/i/na-na-set-1n-fallalery-original-imagfjt8shvu7eh8.jpeg?q=70,"Everyday, Love, Religious, Wedding & Engagement","Gold, Pink, Green",229,KISHUSOON 
Alloy Green Jewel Set  (Pack of 1),,https://www.flipkart.com/fallalery-alloy-green-jewellery-set/p/itm12df92772bbc5?pid=JWSGZCZ48AGZRHXD&lid=LSTJWSGZCZ48AGZRHXDQUYXY6&marketplace=FLIPKART&q=jewellery+for+women&store=mcr%2F96v%2Fyx2&srno=s_1_39&otracker=AS_QueryStore_OrganicAutoSuggest_2_4_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_2_4_na_na_na&fm=organic&iid=36ffec02-e82e-488d-96fd-949b56a51bc1.JWSGZCZ48AGZRHXD.SEARCH&ppt=None&ppn=None&ssid=aekr68q4c00000001692532761881&qH=ce533df150a10b44,https://rukminim2.flixcart.com/image/832/832/xif0q/jewellery-set/v/3/7/na-na-na-1-neck-113n-a-fallalery-original-imagzcz4pdeye8gf.jpeg?q=70,"Everyday, Love, Religious, Wedding & Engagement, Workwear",Green,274,FALLALERY 
Alloy Gold-plated Gold Jewel Set  (Pack of 1),,https://www.flipkart.com/m-creation-alloy-gold-plated-gold-jewellery-set/p/itm8ea27ed06eaf0?pid=JWSGA2EFZYRW4G8X&lid=LSTJWSGA2EFZYRW4G8XGYHNQF&marketplace=FLIPKART&q=jewellery+for+women&store=mcr%2F96v%2Fyx2&srno=s_1_40&otracker=AS_QueryStore_OrganicAutoSuggest_2_4_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_2_4_na_na_na&fm=organic&iid=36ffec02-e82e-488d-96fd-949b56a51bc1.JWSGA2EFZYRW4G8X.SEARCH&ppt=None&ppn=None&ssid=aekr68q4c00000001692532761881&qH=ce533df150a10b44,https://rukminim2.flixcart.com/image/832/832/kxnl6kw0/jewellery-set/g/n/3/na-na-mc-c-7-t-watch-m-creation-original-imaga2efrmg3unah.jpeg?q=70,,Gold,297,M Creation 
