Name,modelName,Link,Image_Link,Occasion,Color,Price,Brand
Copper Gold-plated Gold Jewel Set  (Pack of 2),,https://www.flipkart.com/keymax-copper-gold-plated-gold-jewellery-set/p/itmeeba55c0623b1?pid=JWSGGVTGGAH9FZXM&lid=LSTJWSGGVTGGAH9FZXMZ5TVHD&marketplace=FLIPKART&q=jewellery+for+women&store=mcr%2F96v%2Fyx2&srno=s_1_11&otracker=AS_QueryStore_OrganicAutoSuggest_2_4_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_2_4_na_na_na&fm=organic&iid=36ffec02-e82e-488d-96fd-949b56a51bc1.JWSGGVTGGAH9FZXM.SEARCH&ppt=None&ppn=None&ssid=aekr68q4c00000001692532761881&qH=ce533df150a10b44,https://rukminim2.flixcart.com/image/832/832/xif0q/jewellery-set/d/n/6/na-na-neck-40n-fallalery-original-imaggtnmrvbmvqgd.jpeg?q=70,"Everyday, Love, Religious, Wedding & Engagement, Workwear",Gold,321,KEYMAX 
Brass Gold-plated Gold Jewel Set  (Pack of 1),,https://www.flipkart.com/goldeighteen-brass-gold-plated-gold-jewellery-set/p/itm8dd46170d8ad3?pid=JWSGMRVFRJPTZHZ8&lid=LSTJWSGMRVFRJPTZHZ8AGZ9DR&marketplace=FLIPKART&q=jewellery+for+women&store=mcr%2F96v%2Fyx2&srno=s_1_12&otracker=AS_QueryStore_OrganicAutoSuggest_2_4_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_2_4_na_na_na&fm=organic&iid=36ffec02-e82e-488d-96fd-949b56a51bc1.JWSGMRVFRJPTZHZ8.SEARCH&ppt=None&ppn=None&ssid=aekr68q4c00000001692532761881&qH=ce533df150a10b44,https://rukminim2.flixcart.com/image/832/832/xif0q/jewellery-set/s/x/b/na-plastic-1-180137-goldeighteen-original-imagmrvf8mzzqbms.jpeg?q=70,"Love, Religious, Workwear",Gold,225,GOLDEIGHTEEN 
Brass Gold-plated Gold Jewel Set  (Pack of 1),,https://www.flipkart.com/primectrla-fab-brass-gold-plated-gold-jewellery-set/p/itmfcedcc82efedd?pid=JWSGSYXBXYQWGDYB&lid=LSTJWSGSYXBXYQWGDYBQZQWHU&marketplace=FLIPKART&q=jewellery+for+women&store=mcr%2F96v%2Fyx2&srno=s_1_13&otracker=AS_QueryStore_OrganicAutoSuggest_2_4_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_2_4_na_na_na&fm=organic&iid=36ffec02-e82e-488d-96fd-949b56a51bc1.JWSGSYXBXYQWGDYB.SEARCH&ppt=None&ppn=None&ssid=aekr68q4c00000001692532761881&qH=ce533df150a10b44,https://rukminim2.flixcart.com/image/832/832/xif0q/jewellery-set/x/w/x/south-sea-na-1-0065-primectrla-fab-original-imagsywsv4nkeagc.jpeg?q=70,"Love, Wedding & Engagement",Gold,3400,Primectrla Fab 
Alloy Rhodium White Jewel Set  (Pack of 1),,https://www.flipkart.com/rhymee-alloy-rhodium-white-jewellery-set/p/itme74ecc83e32e4?pid=JWSGGTUSRYTGWSGX&lid=LSTJWSGGTUSRYTGWSGXZPRONL&marketplace=FLIPKART&q=jewellery+for+women&store=mcr%2F96v%2Fyx2&srno=s_1_14&otracker=AS_QueryStore_OrganicAutoSuggest_2_4_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_2_4_na_na_na&fm=organic&iid=36ffec02-e82e-488d-96fd-949b56a51bc1.JWSGGTUSRYTGWSGX.SEARCH&ppt=None&ppn=None&ssid=aekr68q4c00000001692532761881&qH=ce533df150a10b44,https://rukminim2.flixcart.com/image/832/832/kqco5u80/jewellery-set/g/c/h/780-r-a-enterprises-original-imag4dyzceaqhkhp.jpeg?q=70,Wedding & Engagement,White,249,Rhymee 
"Brass Brass, Gold-plated Gold Jewel Set  (Pack of 1)",,https://www.flipkart.com/asmitta-jewellery-brass-brass-gold-plated-gold-set/p/itm006b7fd52a6b0?pid=JWSFGH5KZ2GAHPFM&lid=LSTJWSFGH5KZ2GAHPFMGRXYXZ&marketplace=FLIPKART&q=jewellery+for+women&store=mcr%2F96v%2Fyx2&srno=s_1_15&otracker=AS_QueryStore_OrganicAutoSuggest_2_4_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_2_4_na_na_na&fm=organic&iid=36ffec02-e82e-488d-96fd-949b56a51bc1.JWSFGH5KZ2GAHPFM.SEARCH&ppt=None&ppn=None&ssid=aekr68q4c00000001692532761881&qH=ce533df150a10b44,https://rukminim2.flixcart.com/image/832/832/l2f20sw0/jewellery-set/t/u/r/na-na-ns725kjgldsb0-asmitta-jewellery-original-imagdrzyhssug9nr.jpeg?q=70,"Religious, Wedding & Engagement, Everyday, Workwear, Love",Gold,199,ASMITTA Jewellery 
Brass Gold-plated Black Jewel Set  (Pack of 1),,https://www.flipkart.com/brado-jewellery-brass-gold-plated-black-set/p/itm50b6261d9cdc2?pid=JWSGH5HUFD5KFACE&lid=LSTJWSGH5HUFD5KFACEHHZNUA&marketplace=FLIPKART&q=jewellery+for+women&store=mcr%2F96v%2Fyx2&srno=s_1_16&otracker=AS_QueryStore_OrganicAutoSuggest_2_4_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_2_4_na_na_na&fm=organic&iid=36ffec02-e82e-488d-96fd-949b56a51bc1.JWSGH5HUFD5KFACE.SEARCH&ppt=None&ppn=None&ssid=aekr68q4c00000001692532761881&qH=ce533df150a10b44,https://rukminim2.flixcart.com/image/832/832/xif0q/jewellery-set/f/g/m/ef-na-2-black-color-ats-brado-jewellery-original-imagp8vv6fthwg4q.jpeg?q=70,"Everyday, Love, Religious, Wedding & Engagement, Workwear",Black,179,brado jewellery 
Alloy Gold-plated Gold Jewel Set  (Pack of 4),,https://www.flipkart.com/sukkhi-alloy-gold-plated-gold-jewellery-set/p/itmec1a0f5384b87?pid=JWSG8STEREUJVNUE&lid=LSTJWSG8STEREUJVNUE44O30J&marketplace=FLIPKART&q=jewellery+for+women&store=mcr%2F96v%2Fyx2&srno=s_1_17&otracker=AS_QueryStore_OrganicAutoSuggest_2_4_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_2_4_na_na_na&fm=organic&iid=36ffec02-e82e-488d-96fd-949b56a51bc1.JWSG8STEREUJVNUE.SEARCH&ppt=None&ppn=None&ssid=aekr68q4c00000001692532761881&qH=ce533df150a10b44,https://rukminim2.flixcart.com/image/832/832/kw104nk0/jewellery-set/v/x/2/na-na-skr85848-sukkhi-original-imag8stey8gyygvg.jpeg?q=70,Wedding & Engagement,Gold,349,Sukkhi 
"Brass, Alloy Gold-plated, Brass Gold Jewel Set  (Pack of 1)",,https://www.flipkart.com/tonolika-jewellery-brass-alloy-gold-plated-brass-gold-set/p/itmc0872eb6f06c9?pid=JWSGPVD2STXQTHZU&lid=LSTJWSGPVD2STXQTHZUNRYJYE&marketplace=FLIPKART&q=jewellery+for+women&store=mcr%2F96v%2Fyx2&spotlightTagId=TrendingId_mcr%2F96v%2Fyx2&srno=s_1_18&otracker=AS_QueryStore_OrganicAutoSuggest_2_4_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_2_4_na_na_na&fm=organic&iid=36ffec02-e82e-488d-96fd-949b56a51bc1.JWSGPVD2STXQTHZU.SEARCH&ppt=None&ppn=None&ssid=aekr68q4c00000001692532761881&qH=ce533df150a10b44,https://rukminim2.flixcart.com/image/832/832/xif0q/jewellery-set/q/p/p/na-na-1-y-42-ruzee-original-imagqfs3qejryf5d.jpeg?q=70,"Wedding & Engagement, Love, Religious, Everyday",Gold,177,TONOLIKA JEWELLERY 
Brass Gold-plated Gold Jewel Set  (Pack of 1),,https://www.flipkart.com/primectrla-fab-brass-gold-plated-gold-jewellery-set/p/itm15ada4e9e062e?pid=JWSGSYT9RNK6GMEG&lid=LSTJWSGSYT9RNK6GMEGDSLKZO&marketplace=FLIPKART&q=jewellery+for+women&store=mcr%2F96v%2Fyx2&srno=s_1_19&otracker=AS_QueryStore_OrganicAutoSuggest_2_4_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_2_4_na_na_na&fm=organic&iid=36ffec02-e82e-488d-96fd-949b56a51bc1.JWSGSYT9RNK6GMEG.SEARCH&ppt=None&ppn=None&ssid=aekr68q4c00000001692532761881&qH=ce533df150a10b44,https://rukminim2.flixcart.com/image/832/832/xif0q/jewellery-set/h/f/e/south-sea-na-1-0063-primectrlafab-original-imagsyt9hjxgumfb.jpeg?q=70,"Love, Wedding & Engagement",Gold,3800,Primectrla Fab 
Alloy Gold-plated Yellow Jewel Set  (Pack of 2),,https://www.flipkart.com/sukkhi-alloy-gold-plated-yellow-jewellery-set/p/itm878f1b04e73fe?pid=JWSFG5CEQTGFT869&lid=LSTJWSFG5CEQTGFT869Y9BJZQ&marketplace=FLIPKART&q=jewellery+for+women&store=mcr%2F96v%2Fyx2&srno=s_1_20&otracker=AS_QueryStore_OrganicAutoSuggest_2_4_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_2_4_na_na_na&fm=organic&iid=36ffec02-e82e-488d-96fd-949b56a51bc1.JWSFG5CEQTGFT869.SEARCH&ppt=None&ppn=None&ssid=aekr68q4c00000001692532761881&qH=ce533df150a10b44,https://rukminim2.flixcart.com/image/832/832/jvgzl3k0/jewellery-set/8/6/9/cb73381-d2-sukkhi-original-imaf7yphyhcuc7sf.jpeg?q=70,Wedding & Engagement,Yellow,269,Sukkhi 
