Name,Link,Image_Link,Length,Color,Type,Price,Brand,SuitableFor,Neck,Pattern,clothType,id
Women Solid Round Neck Polyester Black T-Shirt,https://www.flipkart.com/hrx-hrithik-roshan-solid-women-round-neck-black-t-shirt/p/itm1bff07747ffb4?pid=TSHFPNK5EN3WJDFB&lid=LSTTSHFPNK5EN3WJDFBEVCKJH&marketplace=FLIPKART&store=clo%2Fash&srno=b_1_37&otracker=browse&fm=organic&iid=en_RxdkU8V5L7HlA-YCzogGl4Z_CemfRXlC1KjUHfB_v8y7LWqAPP1M4VQoAELwaSaxzN0xVTei3XXA5jqruww2Wg%3D%3D&ppt=None&ppn=None&ssid=24kif9fbj40000001692018801290,https://rukminim2.flixcart.com/image/832/832/k7hy07k0/t-shirt/b/6/s/s-10565642-hrx-by-hrithik-roshan-original-imafppcrrxugrgvp.jpeg?q=70,,,Round Neck,359,HRX by Hrithik Roshan ,Western Wear,,Solid,casual,11
Women Regular Fit Solid Spread Collar Formal Shirt,https://www.flipkart.com/style-quotient-women-solid-formal-light-blue-shirt/p/itmbd653cecf79c4?pid=SHTGZQZGPXHTSXPG&lid=LSTSHTGZQZGPXHTSXPGMBC3AW&marketplace=FLIPKART&q=womens+formals&store=clo&srno=s_1_33&otracker=search&otracker1=search&fm=organic&iid=a441ed9e-95bf-480e-9280-cc5735b38858.SHTGZQZGPXHTSXPG.SEARCH&ppt=None&ppn=None&ssid=bp82m3m38g0000001692019446855&qH=b75f5539ad8ca541,https://rukminim2.flixcart.com/image/400/400/cms-product/bbf8d309f06e47839c5211c4c116dfd3_164b7001f47_ShirtCropped.jpg.jpeg?q=50,,Light Blue,,729,Style Quotient ,Western Wear,,Solid,formal,12
Women Printed Round Neck Poly Cotton Purple T-Shirt,https://www.flipkart.com/pockman-printed-women-round-neck-purple-t-shirt/p/itm139b028b19989?pid=TSHGHMYY5CBMPQZX&lid=LSTTSHGHMYY5CBMPQZXFQGLEA&marketplace=FLIPKART&store=clo%2Fash&srno=b_1_36&otracker=browse&fm=organic&iid=e77c0076-4fbc-43f7-8afa-5a8f962626ea.TSHGHMYY5CBMPQZX.SEARCH&ppt=None&ppn=None&ssid=24kif9fbj40000001692018801290,https://rukminim2.flixcart.com/image/832/832/xif0q/t-shirt/c/7/p/m-oversize-t-shirt-print-pockman-original-imaghmyyetpk9vne.jpeg?q=70,,,Round Neck,230,PockMAN ,Western Wear,,Printed,casual,13
Women Regular Fit Solid Spread Collar Formal Shirt,https://www.flipkart.com/retrobella-women-solid-formal-white-shirt/p/itm891e3ee248fe0?pid=SHTGG7KWBGCVXKHA&lid=LSTSHTGG7KWBGCVXKHACOIWC1&marketplace=FLIPKART&q=womens+formals&store=clo&srno=s_1_26&otracker=search&otracker1=search&fm=organic&iid=a441ed9e-95bf-480e-9280-cc5735b38858.SHTGG7KWBGCVXKHA.SEARCH&ppt=None&ppn=None&ssid=bp82m3m38g0000001692019446855&qH=b75f5539ad8ca541,https://rukminim2.flixcart.com/image/832/832/xif0q/shirt/p/y/1/xl-style-917-stylebella-original-imaghvefupurcwnh.jpeg?q=70,,White,,398,retrobella ,Western Wear,,Solid,formal,14
Casual Regular Sleeves Solid Women Brown Top,https://www.flipkart.com/style-prezone-casual-solid-women-brown-top/p/itm44555d05dc95f?pid=TOPGH9P8KKFHJNUG&lid=LSTTOPGH9P8KKFHJNUGW1TRZO&marketplace=FLIPKART&store=clo%2Fash&srno=b_1_5&otracker=browse&fm=organic&iid=e77c0076-4fbc-43f7-8afa-5a8f962626ea.TOPGH9P8KKFHJNUG.SEARCH&ppt=None&ppn=None&ssid=24kif9fbj40000001692018801290,https://rukminim2.flixcart.com/image/832/832/xif0q/top/u/k/4/m-coller-tops-style-prezone-original-imagjuvvhzxhmf4y.jpeg?q=70,Hip Length,Brown,Shirt Style,185,STYLE PREZONE ,,Collared,Solid,casual,15
Casual Puff Sleeves Solid Women Black Top,https://www.flipkart.com/sheetal-associates-casual-solid-women-black-top/p/itmd0def0cccb33c?pid=TOPGPNG5WHGUKUPY&lid=LSTTOPGPNG5WHGUKUPYEGLVFP&marketplace=FLIPKART&store=clo%2Fash&srno=b_1_16&otracker=browse&fm=organic&iid=e77c0076-4fbc-43f7-8afa-5a8f962626ea.TOPGPNG5WHGUKUPY.SEARCH&ppt=None&ppn=None&ssid=24kif9fbj40000001692018801290,https://rukminim2.flixcart.com/image/832/832/xif0q/top/c/q/q/l-4521-sheetal-associates-original-imagpng5z9nbfryk.jpeg?q=70,Hip Length,Black,Regular Top,265,Sheetal Associates ,,V-Neck,Solid,casual,16
Casual Regular Sleeves Printed Women Black Top,https://www.flipkart.com/sheetal-associates-casual-printed-women-black-top/p/itm169db4ff6b867?pid=TOPGM5ZU6ZX8Q4GF&lid=LSTTOPGM5ZU6ZX8Q4GF4GITTW&marketplace=FLIPKART&store=clo%2Fash&srno=b_1_23&otracker=browse&fm=organic&iid=e77c0076-4fbc-43f7-8afa-5a8f962626ea.TOPGM5ZU6ZX8Q4GF.SEARCH&ppt=None&ppn=None&ssid=24kif9fbj40000001692018801290,https://rukminim2.flixcart.com/image/832/832/xif0q/top/j/b/w/xxl-4307-sheetal-associates-original-imagm5zufzzwkdfb.jpeg?q=70,Hip Length,Black,Regular Top,265,Sheetal Associates ,,Square Neck,Printed,casual,17
Women Printed Round Neck Pure Cotton White T-Shirt,https://www.flipkart.com/juneberry-printed-women-round-neck-white-t-shirt/p/itmaa4ad69e77053?pid=TSHG5GT5FMNHESSH&lid=LSTTSHG5GT5FMNHESSHBNHWSQ&marketplace=FLIPKART&store=clo%2Fash&srno=b_1_40&otracker=browse&fm=organic&iid=e77c0076-4fbc-43f7-8afa-5a8f962626ea.TSHG5GT5FMNHESSH.SEARCH&ppt=None&ppn=None&ssid=24kif9fbj40000001692018801290,https://rukminim2.flixcart.com/image/832/832/krtjgcw0/top/o/c/0/s-tsh-cartoon-wht-juneberry-original-imag5gqyp4xbsty4.jpeg?q=70,,,Round Neck,299,JUNEBERRY ,Western Wear,,Printed,casual,18
Women Regular Fit Solid Spread Collar Casual Shirt,https://www.flipkart.com/funday-fashion-women-solid-casual-black-shirt/p/itm3ce805ff67fed?pid=SHTFCXYZAVNGV3FF&lid=LSTSHTFCXYZAVNGV3FFEGWDNR&marketplace=FLIPKART&store=clo%2Fash&srno=b_1_9&otracker=browse&fm=organic&iid=e77c0076-4fbc-43f7-8afa-5a8f962626ea.SHTFCXYZAVNGV3FF.SEARCH&ppt=None&ppn=None&ssid=24kif9fbj40000001692018801290,https://rukminim2.flixcart.com/image/832/832/kflftzk0hlty2aw-0/shirt/m/8/j/s-1-sys-4001-funday-fashion-original-imafw7ks3kkvqzpy.jpeg?q=70,,Black,,299,FUNDAY FASHION ,Western Wear,,Solid,casual,19
Casual Regular Sleeves Solid Women Black Top,https://www.flipkart.com/style-prezone-casual-solid-women-black-top/p/itmc156f65fc4558?pid=TOPGHBXA3GXHFAKW&lid=LSTTOPGHBXA3GXHFAKWNKAOPW&marketplace=FLIPKART&store=clo%2Fash&spotlightTagId=FkPickId_clo%2Fash&srno=b_1_6&otracker=browse&fm=organic&iid=e77c0076-4fbc-43f7-8afa-5a8f962626ea.TOPGHBXA3GXHFAKW.SEARCH&ppt=None&ppn=None&ssid=24kif9fbj40000001692018801290,https://rukminim2.flixcart.com/image/832/832/xif0q/top/m/o/n/s-zip-women-top-style-prezone-original-imagkfe6gbcebncv.jpeg?q=70,Hip Length,Black,Regular Top,195,STYLE PREZONE ,,Square Neck,Solid,casual,20
